Population ,
(000 at mid-year),
,World Total
1,225820
,
1000,267330
,
1500,438428
,
1600,556148
,
1700,603490
,
1820,1041708
1821,
1822,
1823,
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,
1834,
1835,
1836,
1837,
1838,
1839,
1840,
1841,
1842,
1843,
1844,
1845,
1846,
1847,
1848,
1849,
1850,
1851,
1852,
1853,
1854,
1855,
1856,
1857,
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,1275732
1871,
1872,
1873,
1874,
1875,
1876,
1877,
1878,
1879,
1880,
1881,
1882,
1883,
1884,
1885,
1886,
1887,
1888,
1889,
1890,
1891,
1892,
1893,
1894,
1895,
1896,
1897,
1898,
1899,
1900,1563464
1901,
1902,
1903,
1904,
1905,
1906,
1907,
1908,
1909,
1910,
1911,
1912,
1913,1792925
1914,
1915,
1916,
1917,
1918,
1919,
1920,1863466
1921,
1922,
1923,
1924,
1925,
1926,
1927,
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,2299193
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,2527959.895
1951,2571662.789
1952,2617949.071
1953,2665959.455
1954,2716927.398
1955,2769073.634
1956,2822501.579
1957,2879933.664
1958,2939254.094
1959,2995909.189
1960,3041506.603
1961,3082161.224
1962,3135786.861
1963,3201354.081
1964,3266477.462
1965,3333138.067
1966,3402223.59
1967,3471463.654
1968,3543086.393
1969,3615742.882
1970,3691157.428
1971,3769818.402
1972,3846498.588
1973,3922793.352
1974,3997676.87
1975,4070670.632
1976,4141444.863
1977,4213538.649
1978,4286316.852
1979,4363144.272
1980,4439528.731
1981,4514837.585
1982,4587307.421
1983,4676388.377
1984,4756521.213
1985,4837719.114
1986,4920967.596
1987,5006671.583
1988,5093306.051
1989,5180540.356
1990,5269029.228
1991,5351921.725
1992,5435721.521
1993,5518127.088
1994,5599396.187
1995,5681574.956
1996,5762211.774
1997,5842121.553
1998,5921366.35
1999,5999621.854
2000,6076557.523
2001,6154790.969
2002,6231703.945
2003,6308364.377
2004,6374055.917
2005,6462986.555
2006,6540213.863
2007,6616689.011
2008,6694832.021
2009,6764086
